PLAYER_ID,PLAYER,FIRST_NAME,LAST_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,PTS_DRIVE,FGP_DRIVE,PTS_CLOSE,FGP_CLOSE,PTS_CATCH_SHOOT,FGP_CATCH_SHOOT,PTS_PULL_UP,FGP_PULL_UP,FGA_DRIVE,FGA_CLOSE,FGA_CATCH_SHOOT,FGA_PULL_UP,EFG_PCT,CFGM,CFGA,CFGP,UFGM,UFGA,UFGP,CFG3M,CFG3A,CFG3P,UFG3M,UFG3A,UFG3P,X
201144,Mike Conley,Mike,Conley,MEM,68,33.4,20.6,5.4,0.5,0.2,0.545,3.5,0.432,7.2,0.41,4.0,0.2,2.8,7.1,0.543,0.9,2.8,0.335,3.2,7.2,0.448,0.4,1.4,0.28,2.1,4.7,0.445,NA
1626155,Sam Dekker,Sam,Dekker,HOU,77,18.5,6.5,0.9,0.36,0.9,0.78,2.2,0.337,0.3,0.312,1.0,0.5,2.2,0.4,0.543,0.1,0.2,0.294,0.8,2.4,0.33,0.0,0.2,0.167,0.8,2.3,0.331,NA
201586,Serge Ibaka,Serge,Ibaka,TOTAL,79,30.6,14.8,0.6,0.39,2.6,0.59,6.9,0.42,1.3,0.433,0.5,2.0,6.5,1.5,0.543,0.9,2.3,0.386,2.7,6.3,0.436,0.2,0.4,0.414,1.4,3.6,0.385,NA
203922,Glenn Robinson III,Glenn,Robinson III,IND,68,20.5,6.0,0.5,0.478,0.7,0.645,2.6,0.431,0.7,0.359,0.3,0.5,2.2,0.9,0.543,0.3,0.9,0.356,1.0,2.3,0.43,0.1,0.2,0.375,0.6,1.6,0.402,NA
203507,Giannis Antetokounmpo,Giannis,Antetokounmpo,MIL,79,35.5,23.1,5.9,0.509,4.0,0.764,1.3,0.299,2.7,0.322,4.1,2.0,1.6,3.9,0.541,0.4,1.3,0.282,1.5,4.4,0.33,0.1,0.2,0.357,0.6,2.1,0.267,NA
201578,Marreese Speights,Marreese,Speights,LAC,81,15.7,8.7,0.5,0.478,1.5,0.681,3.9,0.373,0.5,0.409,0.3,0.9,3.5,0.5,0.541,0.2,0.6,0.32,1.4,3.6,0.386,0.1,0.2,0.353,1.2,3.1,0.376,NA
203120,Justin Hamilton,Justin,Hamilton,BKN,62,18.1,6.9,0.2,0.357,1.9,0.697,3.0,0.342,0.2,0.25,0.2,1.2,3.0,0.3,0.54,0.2,0.6,0.343,0.9,2.9,0.322,0.1,0.3,0.35,0.8,2.5,0.314,NA
2210,Richard Jefferson,Richard,Jefferson,CLE,77,20.3,5.7,0.9,0.449,0.9,0.744,2.3,0.351,0.2,0.222,0.6,0.5,2.2,0.5,0.54,0.2,0.6,0.375,0.7,2.1,0.319,0.2,0.5,0.361,0.6,1.9,0.329,NA
202695,Kawhi Leonard,Kawhi,Leonard,SAS,72,33.5,25.5,4.1,0.508,1.4,0.619,5.3,0.46,7.4,0.425,2.6,0.9,4.3,8.0,0.54,1.9,5.0,0.372,3.7,7.7,0.481,0.2,1.0,0.246,1.8,4.3,0.408,NA
201949,James Johnson,James,Johnson,MIA,74,27.2,12.8,4.6,0.564,0.6,0.714,3.2,0.393,1.5,0.356,3.1,0.4,2.8,2.0,0.538,0.4,1.0,0.361,1.5,3.9,0.385,0.1,0.3,0.28,1.1,2.9,0.361,NA
203501,Tim Hardaway Jr.,Tim,Hardaway Jr.,ATL,78,27.3,14.5,2.8,0.5,1.0,0.787,4.6,0.38,2.7,0.365,2.3,0.6,4.2,3.1,0.537,0.8,2.2,0.337,2.0,5.1,0.384,0.3,1.1,0.291,1.6,4.2,0.376,NA
